source,platform_id,title,brand,model_number,price_usd,list_price_usd,rating,reviews_count,position,category,image_url,product_url,availability,recent_sales,is_bestseller,unit_price,collection,delivery_free,pickup_available,features,description,extract_date,sales_volume_numeric,product_type,volume_share
amazon,B0C86LDZLW,"Leviton E5603-MW Decora Edge 15 Amp 3-Way Rocker Switch, 10-Pack, White",Leviton,,37.98,,4.6,430.0,15,Light Switches,https://m.media-amazon.com/images/I/61uTcWEeusL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C86LDZLW,,500+ bought in past month,,37.98,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B07JB37H5Y,"GE Switch, White, Grounding Toggle 5 Pack, Single Pole, in Wall On/Off Fan & Light Replacement, 15 Amp, for Home, Office & Kitchen, UL Listed, Wallplate not Included, 44034",GE,,8.99,,4.7,7955.0,2,Light Switches,https://m.media-amazon.com/images/I/71XYSl14EkL._AC_UL320_.jpg,https://www.amazon.com/dp/B07JB37H5Y,,500+ bought in past month,,8.99,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B00004YUO1,"Leviton 5601-2WM 15 Amp, 120/277 Volt, Decora Rocker Single-Pole AC Quiet Switch, Residential Grade, Grounding, 10-Pack, White",Leviton,,19.98,2.0,4.7,4589.0,9,Light Switches,https://m.media-amazon.com/images/I/516FYO8vmXL._AC_UL320_.jpg,https://www.amazon.com/dp/B00004YUO1,,500+ bought in past month,,2.0,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B01N25GTMW,"ENERLITES 3-Way Decorator Paddle Rocker Light Switch, Gloss Finish, Single Pole or Three Way, 3 Wire, Grounding Screw, Residential Grade, 15A 120V/277V, UL Listed, 93150-W-10PCS, White (10 Pack)",ENERLITES Store,,19.79,1.98,4.7,3088.0,4,Light Switches,https://m.media-amazon.com/images/I/815IXJ8BpFL._AC_UL320_.jpg,https://www.amazon.com/dp/B01N25GTMW,,500+ bought in past month,,1.98,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B0BVKZLT3B,"Leviton Decora Smart Switch, Wi-Fi 2nd Gen, Neutral Wire Required, Works with Matter, My Leviton, Alexa, Google Assistant, Apple Home/Siri & Wired or Wire-Free 3-Way, D215S-1RW, White",Leviton,,37.84,,4.4,762.0,6,Light Switches,https://m.media-amazon.com/images/I/51RO9t8zXpL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BVKZLT3B,,500+ bought in past month,,37.84,,,,,,6/6/25,500,Smart,0.6246096189881324
amazon,B00A92MQ38,"Lutron Skylark LED+ Dimmer Switch for Dimmable LED, Halogen and Incandescent Bulbs | 150W/Single-Pole or 3-Way | SCL-153P-WH | White",Lutron,,23.28,25.97,4.6,3459.0,22,Dimmer Switches,https://m.media-amazon.com/images/I/61s4MIaWiGS._AC_UL320_.jpg,https://www.amazon.com/dp/B00A92MQ38,,500+ bought in past month,,25.97,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B094XXG14N,"ELEGRP Digital Dimmer Light Switch for 300W Dimmable LED/CFL Lights and 600W Incandescent/Halogen, Single Pole/3-Way LED Slide Dimmer Light Switch, Wall Plate Included, UL Listed, 10 Pack, Matte White",ELEGRP,,89.99,9.0,4.3,1706.0,4,Dimmer Switches,https://m.media-amazon.com/images/I/61g-mHkxLxS._AC_UL320_.jpg,https://www.amazon.com/dp/B094XXG14N,,500+ bought in past month,,9.0,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B08RRM8VH5,"Leviton Decora Smart Dimmer Switch, Wi-Fi 2nd Gen, Neutral Wire Required, Works with Matter, My Leviton, Alexa, Google Assistant, Apple Home/Siri & Wired or Wire-Free 3-Way, D26HD-2RW, White",Leviton,,38.96,,4.5,1429.0,12,Dimmer Switches,https://m.media-amazon.com/images/I/518um+gOwGL._AC_UL320_.jpg,https://www.amazon.com/dp/B08RRM8VH5,,500+ bought in past month,,38.96,,,,,,6/6/25,500,Smart,0.6246096189881324
amazon,B0D4YFCTHV,"Feit Electric Wi-Fi Smart Dimmer Light Switch, 3 Pack, White",Feit Electric Store,,35.75,11.92,4.6,88.0,11,Dimmer Switches,https://m.media-amazon.com/images/I/61hzyyKU4uL._AC_UL320_.jpg,https://www.amazon.com/dp/B0D4YFCTHV,,500+ bought in past month,,11.92,,,,,,6/6/25,500,Smart,0.6246096189881324
amazon,B00JJY1QG0,"Lutron Caseta Smart Lamp Dimmer 3-Way Kit and Pico Remote, for Floor and Table Lamps, for Dimmable LED Lights, 100 Watt, Single-Pole/3-Way, P-PKG1P-WH",Lutron,,52.99,,4.8,3023.0,16,Dimmer Switches,https://m.media-amazon.com/images/I/51QKYtJ4ECL._AC_UL320_.jpg,https://www.amazon.com/dp/B00JJY1QG0,,500+ bought in past month,,52.99,,,,,,6/6/25,500,Smart,0.6246096189881324
