source,platform_id,title,brand,model_number,price_usd,list_price_usd,rating,reviews_count,position,category,image_url,product_url,availability,recent_sales,is_bestseller,unit_price,collection,delivery_free,pickup_available,features,description,extract_date
home_depot,100404169,2-Gang 25 cu. in. Electrical PVC Old Work Electrical Switch and Outlet Box (B225R-UPC),Carlon,B225R-UPC,4.78,,4.6986,355,9,Light Switches,https://images.thdstatic.com/productImages/1e3c4d7c-1c41-4409-a1f0-acf3c29785e1/svn/carlon-boxes-brackets-b225r-upc-64_1000.jpg,https://www.homedepot.com/p/Carlon-2-Gang-25-cu-in-Electrical-PVC-Old-Work-Electrical-Switch-and-Outlet-Box-B225R-UPC-B225R-UPC/100404169,,,FALSE,,https://www.homedepot.com/collection/Electrical/Carlon-PVC-Boxes/Family-311389296?omsid=100404169,TRUE,TRUE,,,6/6/25
home_depot,202065285,2-Gang 32 cu. in. Blue Electrical PVC New Work Electrical Switch and Outlet Box (B232ACP),Carlon,B232ACP,2.3,,4.682,239,10,Light Switches,https://images.thdstatic.com/productImages/54f0e7b7-d7bf-4eb9-aef5-56a0f74e1db8/svn/carlon-boxes-brackets-b232acp-64_1000.jpg,https://www.homedepot.com/p/Carlon-2-Gang-32-cu-in-Blue-Electrical-PVC-New-Work-Electrical-Switch-and-Outlet-Box-B232ACP-B232ACP/202065285,,,FALSE,,,FALSE,TRUE,,,6/6/25
home_depot,318080687,"Sunnata Touch Dimmer Switch, for LED and Incandescent Bulbs, 150-Watt LED/3 Way or Multi Location, White (STCL-153MH-WH)",Lutron,STCL-153MH-WH,41.95,,4.5228,197,11,Light Switches,https://images.thdstatic.com/productImages/f754dc09-36b3-4235-aebe-4a907a665ff6/svn/white-lutron-dimmers-stcl-153mh-wh-64_1000.jpg,https://www.homedepot.com/p/Lutron-Sunnata-Touch-Dimmer-Switch-for-LED-and-Incandescent-Bulbs-150-Watt-LED-3-Way-or-Multi-Location-White-STCL-153MH-WH-STCL-153MH-WH/318080687,,,FALSE,,https://www.homedepot.com/collection/Electrical/Sunnata-in-White/Family-320473803?omsid=318080687,TRUE,TRUE,,,6/6/25
home_depot,319958498,"Toggler LED+ Dimmer Switch for Dimmable LED Bulbs, 150W LED/Single-Pole or 3-Way, White (TGCL-153P-WH-2) (2-Pack)",Lutron,TGCL-153P-WH-2,36.97,,4.3967,2677,12,Light Switches,https://images.thdstatic.com/productImages/3cf37017-5ffd-4fe8-83ba-a2929b93d747/svn/white-lutron-dimmers-tgcl-153p-wh-2-64_1000.jpg,https://www.homedepot.com/p/Lutron-Toggler-LED-Dimmer-Switch-for-Dimmable-LED-Bulbs-150W-LED-Single-Pole-or-3-Way-White-TGCL-153P-WH-2-2-Pack-TGCL-153P-WH-2/319958498,,,FALSE,,,TRUE,TRUE,,,6/6/25
home_depot,202213700,30 Amp 250-Volt 7500-Watt Non-Fuse 6-Circuit Transfer Switch Kit,Reliance Controls,3006HDK,299,,4.7445,454,13,Light Switches,https://images.thdstatic.com/productImages/d19bd7ca-e357-4b19-b36d-232eba8b0844/svn/reliance-controls-transfer-switch-accessories-3006hdk-64_1000.jpg,https://www.homedepot.com/p/Reliance-Controls-30-Amp-250-Volt-7500-Watt-Non-Fuse-6-Circuit-Transfer-Switch-Kit-3006HDK/202213700,,,FALSE,,,TRUE,TRUE,,,6/6/25
home_depot,100035107,"Claro 2 Gang Wall Plate for Decorator/Rocker Switches, Gloss, White (CW-2-WH) (1-Pack)",Lutron,CW-2-WH,8.95,,4.6959,1802,14,Light Switches,https://images.thdstatic.com/productImages/33178e61-5a80-4b0e-8f5f-01bf9deace3d/svn/white-lutron-rocker-light-switch-plates-cw-2-wh-64_1000.jpg,https://www.homedepot.com/p/Lutron-Claro-2-Gang-Wall-Plate-for-Decorator-Rocker-Switches-Gloss-White-CW-2-WH-1-Pack-CW-2-WH/100035107,,,FALSE,,https://www.homedepot.com/collection/Electrical/Lutron-Claro-Collection/Family-316087972?omsid=100035107,TRUE,FALSE,,,6/6/25
home_depot,313862620,Universal 3 Speed Damp Rated Ceiling Fan Handheld Remote Control White,Hunter,99392,39.97,,4.3475,518,15,Light Switches,https://images.thdstatic.com/productImages/b1f7a497-b13f-4fdb-ac2a-a8f94bc46a70/svn/hunter-ceiling-fan-remotes-99392-64_1000.jpg,https://www.homedepot.com/p/Hunter-Universal-3-Speed-Damp-Rated-Ceiling-Fan-Handheld-Remote-Control-White-99392/313862620,,,FALSE,,,TRUE,TRUE,,,6/6/25
home_depot,331903763,"Diva LED+ Dimmer Switch for Dimmable LED Bulbs, 150-Watt/Single-Pole or 3-Way, White (DVCL-153PR-3-WH) (12-Pack)",Lutron,DVCL-153P-12-WH,282,,4.607,2038,16,Light Switches,https://images.thdstatic.com/productImages/30c718f3-52d1-4442-bad2-be49108e56ae/svn/white-lutron-dimmers-dvcl-153p-12-wh-64_1000.jpg,https://www.homedepot.com/p/Lutron-Diva-LED-Dimmer-Switch-for-Dimmable-LED-Bulbs-150-Watt-Single-Pole-or-3-Way-White-DVCL-153PR-3-WH-12-Pack-DVCL-153P-12-WH/331903763,,,FALSE,bundle,,TRUE,FALSE,,,6/6/25
home_depot,320258187,"8 ft. 16/3 Light Duty Indoor/Outdoor Extension Cord, Black",HDX,EXB-1638,9.48,,4.7736,1157,17,Light Switches,https://images.thdstatic.com/productImages/2939cbcb-213d-4f41-a47a-a10ada2caaad/svn/black-hdx-general-purpose-cords-exb-1638-64_1000.jpg,https://www.homedepot.com/p/HDX-8-ft-16-3-Light-Duty-Indoor-Outdoor-Extension-Cord-Black-EXB-1638/320258187,,,FALSE,,,TRUE,TRUE,,,6/6/25
home_depot,202546986,1-Gang 18 cu. in. Blue Electrical PVC New Work Electrical Switch and Outlet Box (B118A),Carlon,B118A,0.95,,4.709,299,18,Light Switches,https://images.thdstatic.com/productImages/9b6f675d-48a6-4e89-9404-e15ed92d999b/svn/carlon-boxes-brackets-b118a-64_1000.jpg,https://www.homedepot.com/p/Carlon-1-Gang-18-cu-in-Blue-Electrical-PVC-New-Work-Electrical-Switch-and-Outlet-Box-B118A-B118A/202546986,,,FALSE,,,TRUE,TRUE,,,6/6/25
